Product Details,ASIN,Brand,Price,Sales,Revenue,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
"REMEO GELATO 72% Dark Chocolate Gelato, 100 g (Frozen)",B07BFN5CBP,REMEO GELATO,,,,,,1,5.0,1,,0,,Frozen,,,,,14-03-2018
"REMEO GELATO Madagascan Vanilla Bourbon Gelato, 100 g (Frozen)",B07BFNT54C,REMEO GELATO,,,,"2,50,497",,1,5.0,1,1,0,,Frozen,Small Oversize,,2.8x2.8x1.7,0.33,14-03-2018
Retro Sweets Cosmic Share Box - A Selection Box Perfect for 2 - Contains 2 of Everything,B06XHPGJND,Just Treats,9.97,"1,353","13,489.41",286,3.02,1,4.6,2258,4,11,CB UK LTD,Hampers & Gourmet Gifts,Large Oversize,FBA,8.9x13.0x1.3,1.54,10-03-2017
Retro Sweets Gift Box: Just Treats Cosmic Gift Box: Jam Packed with The Retro Sweets,B00OQ1P4IC,A-Z Sweetshop,9.97,"5,048","50,328.56",51,3.02,1,4.6,7041,9,31,CB UK LTD,Hampers & Gourmet Gifts,Large Oversize,FBA,9.0x13.0x1.4,1.68,21-10-2014
Retro Sweets Gift Box: Just Treats Cosmic Gift Box: Jam Packed with The Retro Sweets,B00OQ1P4IC,A-Z Sweetshop,9.97,"5,048","50,328.56",51,3.02,1,4.6,7041,9,31,CB UK LTD,Hampers & Gourmet Gifts,Large Oversize,FBA,9.0x13.0x1.4,1.68,21-10-2014
Retro Sweets Mini Box | Letterbox Size Box Filled with Retro Sweets,B096ZSW6L1,Just Treats,3.74,"4,822","18,034.28",73,2.52,1,3.9,128,6,35,CB UK LTD,Hampers & Gourmet Gifts,Small Oversize,FBA,6.7x9.6x1.1,0.4,10-06-2021
Retro Sweets Mini Box | Letterbox Size Box Filled with Retro Sweets,B096ZSW6L1,Just Treats,3.74,"4,822","18,034.28",73,2.52,1,3.9,128,6,35,CB UK LTD,Hampers & Gourmet Gifts,Small Oversize,FBA,6.7x9.6x1.1,0.4,10-06-2021
Revolution Honeybush Caramel Herbal Tea - Rooibos Tea - 30 Individually Boxed Pyramid Tea Bags,B007PEPPTA,Revolution,15.99,,0,"3,02,770",4.78,1,5.0,1,3,0,Crave Wellbeing,Drinks,Small Oversize,MFN,4.9x5.9x2.9,0.41,13-05-2017
Revolution Honeybush Caramel Tea - Whole Leaf Rooibos Tea - 16 Pyramid Tea Bags,B004QQSV9G,Revolution,6.75,,0,"2,79,809",2.74,2,4.6,5,5,0,Crave Wellbeing,Drinks,Standard Parcel,MFN,3.2x5.2x2.6,0.13,28-03-2012
Revolution Pomegranate Tea - Whole Leaf White Tea - 16 Pyramid Tea Bags,B007P41DSW,Revolution,6.75,15,101.25,"57,155",2.74,1,4.0,14,4,0,Crave Wellbeing,Drinks,Standard Parcel,MFN,3.0x5.3x2.7,0.15,27-03-2012
Rhodiola Root Organic Herbal Blend Infusion (White Peony Tea - 25 Tea Bags - Unbleached),B07XDCXWYJ,Herbal Kingdom,,,,"3,37,095",,1,,,3,0,,Drinks,,,,,05-09-2019
"Rhubarb Puree, Frozen, Boiron, 1kg",B07SL6Q72Z,Boiron,14.67,,0,"2,96,980",,1,5.0,1,1,0,Fine Food Specialist,Frozen,,MFN,,,04-06-2019
"Rhythm Health Dairy Free Raw Natural Coconut Kefir, 500ml",B0767JCL5M,Rhythm Health,,,,"1,83,342",,1,5.0,2,3,0,,Fresh & Chilled,Large Oversize,,2.5x8.0x2.5,1.24,06-10-2017
Ribena Blackcurrant Drink 500 ml (Pack of 12),B0077PR2T8,Ribena,15.60,147,"2,293.20","11,813",7.67,10,4.6,127,4,0,,Drinks,Large Oversize,AMZ,8.6x10.6x7.6,14,08-02-2012
Ribena Blackcurrant Drink 500 ml (Pack of 12),B0077PR2T8,Ribena,15.60,147,"2,293.20","11,813",7.67,10,4.6,127,4,0,,Drinks,Large Oversize,AMZ,8.6x10.6x7.6,14,08-02-2012
Ribena Blackcurrant Flavour Cartons Furit Juice 250ml Pack Of 24 Cartons,B00KQJ1270,Ribena,11.02,697,"7,680.94","4,226",7.16,20,4.7,648,3,11,Pearls Trading,Drinks,Large Oversize,MFN,7.6x15.3x4.7,18.61,03-06-2014
Ribena Blackcurrant Flavour Cartons Furit Juice 250ml Pack Of 24 Cartons,B00KQJ1270,Ribena,11.02,697,"7,680.94","4,226",7.16,20,4.7,648,3,11,Pearls Trading,Drinks,Large Oversize,MFN,7.6x15.3x4.7,18.61,03-06-2014
Rice Dream - Original - Organic Drink - 1Ltr x 12,B019A57F30,Rice Dream,29.05,15,435.75,"52,795",11.63,3,4.2,23,1,0,Superfood Market,Fresh & Chilled,Large Oversize,MFN,9.4x12.0x8.2,28.79,12-12-2015
Rice Dream | Rice Dream - Original | 10 x 1l,B01EHSZLZE,Dream,25.29,,0,"2,48,770",6.08,3,,,1,0,Quasaro,Fresh & Chilled,Small Oversize,MFN,5.9x7.9x2.0,0.44,19-02-2017
Rice Dream | Rice Dream - Original | 12 x 1l,B0744MKN77,Dream,29.09,5,145.45,"1,09,195",6.66,2,5.0,1,2,0,Quasaro,Fresh & Chilled,Small Oversize,MFN,5.9x7.9x2.0,0.44,28-03-2016
Rice Dream | Rice Dream - Original | 12 x 1l (UK),B075NPNV9T,Dream,26.73,9,240.57,"1,19,757",,2,5.0,1,6,0,Quasaro,Fresh & Chilled,,MFN,,,03-10-2017
Rice Dream | Rice Dream - Original | 2 x 12 x 1l,B0758MFSSC,Dream,51.53,7,360.71,"97,467",9.39,3,,,1,0,Quasaro,Fresh & Chilled,Small Oversize,MFN,5.9x7.9x2.0,0.44,30-08-2017
Rice Dream | Rice Dream - Original | 3 x 1l,B01EHSZ42O,Dream,11.55,,0,"3,15,765",3.85,1,5.0,1,1,0,Quasaro,Fresh & Chilled,Small Oversize,MFN,5.9x7.9x2.0,0.44,19-02-2017
Rice Dream | Rice Dream - Original | 4 x 1l,B01EHT05HW,Dream,15.71,,0,"2,25,842",4.61,1,2.0,2,1,0,Superfood Market,Fresh & Chilled,Small Oversize,MFN,5.9x7.9x2.0,0.44,19-02-2017
Rice Dream | Rice Dream - Original | 6 x 1l,B01EHT27IW,Dream,17.43,,0,"1,85,851",4.88,2,3.8,9,1,0,Quasaro,Fresh & Chilled,Small Oversize,MFN,5.9x7.9x2.0,0.44,19-02-2017
Rice Dream | Rice Dream - Original | 6 x 1l (UK),B075NF3JQT,Dream,16.96,19,322.24,"1,09,403",,3,5.0,6,1,0,Superfood Market,Fresh & Chilled,,MFN,,,25-05-2021
Rice Dream | Rice Dream - Original | 9 x 1l,B01EHSYYO8,Dream,21.92,1,21.92,"2,17,060",5.56,3,,,1,0,Superfood Market,Fresh & Chilled,Small Oversize,MFN,5.9x7.9x2.0,0.44,19-02-2017
Rice Dream Calcium Enriched 1 Litre (Pack of 6),B00AF9AR2C,Rice Dream,20.39,2,40.78,"2,12,364",8.53,2,5.0,3,1,0,,Fresh & Chilled,Large Oversize,,12.2x16.2x6.5,15.43,04-11-2012
"Rice Dream Chocolate Flavour + Calcium, 1L",B01AUQ3AIC,Rice Dream,,,,"4,10,810",,1,,,1,0,,Fresh & Chilled,Large Oversize,,3.1x8.2x3.0,2.37,29-12-2015
Rice Dream Coconut Dream 1 Litre (Pack of 12),B01CJXDIAO,Rice Dream,,,,"1,92,833",,1,4.1,9,7,0,,Fresh & Chilled,Large Oversize,MFN,9.6x12.2x8.7,28.88,22-06-2015
Rice Dream Organic Milk Alternative UHT 1L Case of 6,B00QZRI2MK,Rice Dream,33.34,,0,"1,77,897",6.76,1,4.8,9,1,0,My Beauty And Care,Fresh & Chilled,Small Oversize,MFN,0.4x0.7x0.4,0.44,14-12-2014
Rice Dream Organic Original,B0013G6S8I,Rice Dream,4.96,,0,"2,84,384",2.61,2,4.6,3,6,0,Superfood Market,Fresh & Chilled,Small Oversize,MFN,5.9x7.9x2.0,0.44,02-02-2008
Rice Dream Organic Original Rice 200 ml (Pack of 30),B009F7O9OM,Rice Dream,,,,"2,16,598",,1,3.9,20,7,0,,Fresh & Chilled,Large Oversize,,6.1x16.1x4.8,14.64,21-09-2012
"Rice Dream Organic Original, 1l",B01AUQ35X2,Rice Dream,,,,"1,32,920",,1,4.7,23,3,0,,Fresh & Chilled,Large Oversize,,3.1x8.2x2.9,2.36,29-12-2015
Rice Dream Organic Vanilla Flavoured Milk Alternative UHT 1L Case of 6,B00QZRSPKO,Rice Dream,,,,"2,38,676",,1,4.3,3,1,0,,Fresh & Chilled,,MFN,,,14-12-2014
Rice Dream Original Calcium Enriched Rice Milk 1 litre (Pack of 12),B006FY51N6,Rice Dream,29.04,,0,"1,89,283",11.58,2,4.3,8,2,0,,Fresh & Chilled,Large Oversize,MFN,9.3x11.8x8.5,28.66,28-11-2011
Rice Dream Original Organic Rice Milk 1 Litre (Pack of 12),B006FY516S,Rice Dream,26.52,7,185.64,"84,080",11.20,1,4.3,31,3,0,Amazon,Fresh & Chilled,Large Oversize,AMZ,9.6x12.0x8.3,28.79,28-11-2011
Rice Dream Rice Dream + Calcium 1000ml (Pack of 12 ),B009M3UB0K,Dream,29.05,19,551.95,"32,199",,3,5.0,7,1,0,Superfood Market,Fresh & Chilled,,MFN,,,19-09-2012
Rice Dream Rice Dream Vanilla Organic 1000 ML (order 12 for trade outer),B000FQ5PVS,Rice Dream,,,,"2,90,647",,1,5.0,1,6,0,,Fresh & Chilled,Large Oversize,,5.9x7.9x2.0,2.84,01-11-2010
Rice Dream Rice Dream Vanilla Organic 1000ml (Pack of 12 ),B009M3UAE2,Dream,,,,"2,60,128",,1,5.0,2,2,0,,Fresh & Chilled,,,,,19-09-2012
Rice Dream Rice Milk Alternative 1 Litre (Pack of 12),B071VGX4V9,Rice Dream,29.95,50,"1,497.50","39,911",11.72,2,4.5,59,1,1,,Fresh & Chilled,Large Oversize,FBA,9.4x11.8x8.5,28.88,26-11-2019
Rice Dream Vanilla Organic Rice Milk 1 litre (Pack of 6),B006VU57TC,Rice Dream,,,,"3,02,711",,1,3.4,8,3,0,,Fresh & Chilled,Large Oversize,MFN,8.9x12.1x8.2,14.24,09-01-2012
Rice Dream with Calcium 1 Litre,B0028OL352,Rice Dream,1.90,2,3.8,"1,88,916",2.84,4,4.7,45,1,4,,Fresh & Chilled,,MFN,,2.38,28-05-2009
Rice Dream with Calcium Milk Alternative UHT 1L Case of 6,B00QZRE49U,Dream,33.60,3,100.8,"1,56,262",7.35,1,,,1,0,My Beauty And Care,Fresh & Chilled,Small Oversize,MFN,5.9x7.9x2.0,0.44,14-12-2014
RICE MILK CALCIUM 1L. Natumi,B0028V92Y4,Natumi,,,,"4,09,637",,1,,,1,0,,Fresh & Chilled,Large Oversize,,8.7x14.2x7.9,4.41,29-01-2018
"Ricola Soothe & Clear Original Herb Bag, Naturally Soothing Throat Lozenges, 75 g Pack of 12 Bags",B088VD8XJ2,Ricola,12.32,295,"3,634.40","3,699",4.55,8,4.8,40,5,0,Amazon,Health & Personal Care,Large Oversize,AMZ,7.1x11.6x5.2,2.58,06-05-2020
"Ridgways of London Red Berries 20 Tea Bags (Pack of 6, Total 120 Teabags)",B006DICJQQ,Ridgways,9.82,12,117.84,"23,790",3.30,1,4.3,24,8,0,Amazon,Drinks,Large Oversize,AMZ,7.8x9.2x6.8,1.15,23-11-2011
Rio Tropical 330ml Cans (pack of 24),B00K2DU9BA,Rio Tropical,21.39,314,"6,716.46","11,423",8.05,10,4.7,247,1,9,Justshopin,Drinks,Large Oversize,MFN,10.0x15.6x4.3,19.44,01-05-2014
Rio Tropical 330ml Cans (pack of 24),B00K2DU9BA,Rio Tropical,21.39,314,"6,716.46","11,423",8.05,10,4.7,247,1,9,Justshopin,Drinks,Large Oversize,MFN,10.0x15.6x4.3,19.44,01-05-2014
Rio Tropical Fruit Juice Drink 330 ml (Pack of 24),B004GXS6K8,Rio,18.50,331,"6,123.50","5,155",8.14,9,4.7,719,5,6,REMI DIRECT,Drinks,Large Oversize,MFN,10.5x15.7x4.6,19.05,21-12-2010
Rio Tropical Fruit Juice Drink 330 ml (Pack of 24),B004GXS6K8,Rio,18.50,331,"6,123.50","5,155",8.14,9,4.7,719,5,6,REMI DIRECT,Drinks,Large Oversize,MFN,10.5x15.7x4.6,19.05,21-12-2010
"Riso Scotti Organic Rice Milk Drink with Quinoa, 1 Litre- Bio Pack of 5",B077J2TT6Y,Riso Scotti,,,,"3,51,178",,1,2.4,2,7,0,Amazon,Fresh & Chilled,Large Oversize,AMZ,11.7x12.2x3.1,12.08,25-06-2020
Rita Farhi Caramelised Chilli Honey Peanuts in a Luxury Gift Jar 260 g,B07SHSQDKH,Rita Farhi,7.98,199,"1,588.02","5,197",2.98,1,4.4,194,5,0,Amazon,Food Cupboard,Large Oversize,AMZ,2.8x4.6x2.8,0.66,10-06-2019
"ROAR Shots, NEW Acai Shot Pack, Refreshing Natural Energy Health Shot to help boost the immune system. Vitamin C. (6 x 60ml)",B0999SR6X7,Roar Shots,12.00,126,"1,512.00","8,113",4.34,1,4.9,13,7,4,Roar Shots,Fresh & Chilled,Large Oversize,FBA,4.3x5.8x3.7,1.72,13-07-2021
"ROAR Shots, NEW Acai Shot Pack, Refreshing Natural Energy Health Shot to help boost the immune system. Vitamin C. (6 x 60ml)",B0999SR6X7,Roar Shots,12.00,126,"1,512.00","8,113",4.34,1,4.9,13,7,4,Roar Shots,Fresh & Chilled,Large Oversize,FBA,4.3x5.8x3.7,1.72,13-07-2021
"ROAR Shots, NEW Acai Shot Pack, Refreshing Natural Energy Health Shot to help boost the immune system. Vitamin C. (6 x 60ml)",B0999SR6X7,Roar Shots,12.00,126,"1,512.00","8,113",4.34,1,4.9,13,7,4,Roar Shots,Fresh & Chilled,Large Oversize,FBA,4.3x5.8x3.7,1.72,13-07-2021
Roberts Frozen Baked Giant Yorkshire Puddings 20cm - 1x30x20cm,B07G5P8QNC,Roberts,,,,,,1,5.0,1,,0,,Frozen,,,,,03-08-2018
Roberts Frozen Baked Large Yorkshire Puddings 10cm - 3x20,B08BPB7P2K,Roberts,19.99,,,,,1,,,,0,FoodServiceDirect,Frozen,,MFN,,,03-08-2018
Roberts Frozen Baked Large Yorkshire Puddings 15cm - 1x28,B07G5M74J5,Roberts,21.99,,,,,1,5.0,1,,0,FoodServiceDirect,Frozen,,MFN,,,03-08-2018
Roberts Frozen Baked Yorkshire Puddings 5cm - 6x20,B08BP85TN8,Roberts,16.99,,,,,1,,,,0,FoodServiceDirect,Frozen,,MFN,,,03-08-2018
Robinsons Apple & Pear Fruit Shoot Juiced - 24x200ml,B08BPB9C7F,Robinsons,29.99,2,59.98,"77,932",9.71,1,,,1,0,FoodServiceDirect,Fresh & Chilled,Large Oversize,MFN,8.5x14.0x4.9,12.02,09-03-2018
Robinsons Apple & Pear Fruit Shoot Juiced - 24x200ml,B08BPB9C7F,Robinsons,29.99,2,59.98,"77,932",9.71,1,,,1,0,FoodServiceDirect,Fresh & Chilled,Large Oversize,MFN,8.5x14.0x4.9,12.02,09-03-2018
Robinsons Apple & Pear Fruit Shoot Juiced - 24x200ml,B08BPB9C7F,Robinsons,29.99,2,59.98,"77,932",9.71,1,,,1,0,FoodServiceDirect,Fresh & Chilled,Large Oversize,MFN,8.5x14.0x4.9,12.02,09-03-2018
"Robinsons Apple and Blackcurrant No Added Sugar, 1L",B00XIC41ZC,Robinsons,1.25,757,946.25,"2,539",2.76,5,4.7,1804,5,35,Amazon,Drinks,Large Oversize,AMZ,3.0x10.6x2.9,2.29,11-05-2015
"Robinsons Apple and Blackcurrant No Added Sugar, 1L",B00XIC41ZC,Robinsons,1.25,757,946.25,"2,539",2.76,5,4.7,1804,5,35,Amazon,Drinks,Large Oversize,AMZ,3.0x10.6x2.9,2.29,11-05-2015
Robinsons Freeze Pops 5 Pk (x8 Boxes),B088X9G88S,Robinsons,,1,,"1,13,034",,1,4.5,81,1,0,Amazon,Drinks,Large Oversize,AMZ,9.1x11.8x7.5,6.7,06-05-2020
"Robinsons Fruit Creations Zesty Orange and Mango Juice, 1L",B07C31KPJ7,Robinsons,2.00,509,"1,018.00","5,099",2.82,3,4.6,1306,4,17,Amazon,Drinks,Large Oversize,AMZ,3.1x11.2x3.1,2.34,10-04-2018
"Robinsons Fruit Creations Zesty Orange and Mango Juice, 1L",B07C31KPJ7,Robinsons,2.00,509,"1,018.00","5,099",2.82,3,4.6,1306,4,17,Amazon,Drinks,Large Oversize,AMZ,3.1x11.2x3.1,2.34,10-04-2018
Robinsons Fruit Shoot Apple & Blackcurrant 24x200ml,B07WN9LHV7,Robinsons,12.25,108,"1,323.00","7,202",6.88,12,4.7,85,1,2,Justshopin,Drinks,Large Oversize,MFN,8.8x13.7x5.7,11.81,09-01-2019
Robinsons Fruit Shoot Apple & Blackcurrant 24x200ml,B07WN9LHV7,Robinsons,12.25,108,"1,323.00","7,202",6.88,12,4.7,85,1,2,Justshopin,Drinks,Large Oversize,MFN,8.8x13.7x5.7,11.81,09-01-2019
"Robinsons Fruit Shoot Britvic Soft Drinks Apple and Raspberry, 350ml",B017NVFO5O,Robinsons,,1,,"1,16,052",,1,4.2,30,5,0,Amazon,Drinks,Large Oversize,AMZ,4.6x8.0x4.6,3.36,12-11-2015
"Robinsons Fruit Shoot Fruit Juice Apple, 8x200ml",B017NVIKOQ,Robinsons,13.99,227,"3,175.73","5,606",5.05,1,4.6,103,6,0,Amazon,Drinks,Large Oversize,AMZ,5.9x9.1x4.7,3.75,12-11-2015
"Robinsons Fruit Shoot Fruit Juice Apple, 8x200ml",B017NVIKOQ,Robinsons,13.99,227,"3,175.73","5,606",5.05,1,4.6,103,6,0,Amazon,Drinks,Large Oversize,AMZ,5.9x9.1x4.7,3.75,12-11-2015
"Robinsons Fruit Shoot Fruit Juice, Apple & Berry Juice Drink, 8 X 200 ml",B07Z44THBF,Robinsons,,,,,,1,4.7,1208,,0,,Drinks,,,,,13-09-2019
"Robinsons Fruit Shoot Fruit Juice, Apple & Berry Juice Drink, 8 X 200 ml",B07Z44THBF,Robinsons,,,,,,1,4.7,1208,,0,,Drinks,,,,,13-09-2019
"Robinsons Fruit Shoot Hydro Flavoured Water Blackcurrant, 8 x 200ml & Apple and Blackcurrant No Added Sugar, 1L",B09LQZN22W,Robinsons,4.25,,,,,1,4.8,702,,0,,Drinks,,AMZ,,,12-11-2021
"Robinsons Fruit Shoot Hydro Flavoured Water Blackcurrant, 8 x 200ml & Apple and Blackcurrant No Added Sugar, 1L",B09LQZN22W,Robinsons,4.25,,,,,1,4.8,702,,0,,Drinks,,AMZ,,,12-11-2021
Robinsons Fruit Shoot Orange 200ml Case of 24,B00L3GRRTC,Robinsons,11.02,295,"3,250.90","8,589",6.72,11,4.7,255,1,6,Pearls Trading,Drinks,Large Oversize,MFN,7.9x9.4x7.9,11.02,18-06-2014
Robinsons Fruit Shoot Orange 200ml Case of 24,B00L3GRRTC,Robinsons,11.02,295,"3,250.90","8,589",6.72,11,4.7,255,1,6,Pearls Trading,Drinks,Large Oversize,MFN,7.9x9.4x7.9,11.02,18-06-2014
"Robinsons Fruit Shoot Orange and Pineapple Water Drink, 8x200ml",B017NVITS8,Robinsons,3.00,7,21,"80,758",,1,4.7,131,8,0,Amazon,Drinks,Large Oversize,AMZ,5.7x9.2x4.5,3.97,12-11-2015
Robinsons Fruit Squash - Low Calorie - Double Strength - Orange 1.75 Litre,B017NVFQQG,Robinsons,2.25,"3,560","8,010.00",459,3.09,5,4.8,1844,3,23,Amazon,Drinks,Large Oversize,AMZ,3.9x12.2x3.7,4.06,12-11-2015
Robinsons Fruit Squash - Low Calorie - Double Strength - Summer Fruits 1.75 Litre,B071GNPGYM,Robinsons,2.25,"3,512","7,902.00",386,3.09,4,4.7,1109,2,20,Amazon,Drinks,Large Oversize,AMZ,3.8x12.4x3.7,4.03,13-06-2017
"Robinsons SQUASH'D, 0 Percent Sugar, Real Fruit Squash, Low Calorie, Apple & Blackcurrant, Makes 20 Drinks Per Pack, 6 x 66 ml Packs",B00J3WOEDK,Robinsons,19.00,202,"3,838.00","9,493",5.41,12,4.7,2001,5,8,MAMA MART LTD,Fresh & Chilled,Large Oversize,FBA,5.4x6.6x4.4,1.41,04-06-2015
"Robinsons SQUASH'D, 0 Percent Sugar, Real Fruit Squash, Low Calorie, Apple & Blackcurrant, Makes 20 Drinks Per Pack, 6 x 66 ml Packs",B00J3WOEDK,Robinsons,19.00,202,"3,838.00","9,493",5.41,12,4.7,2001,5,8,MAMA MART LTD,Fresh & Chilled,Large Oversize,FBA,5.4x6.6x4.4,1.41,04-06-2015
"Robinsons SQUASH'D, 0 Percent Sugar, Real Fruit Squash, Low Calorie, Apple & Blackcurrant, Makes 20 Drinks Per Pack, 6 x 66 ml Packs",B00J3WOEDK,Robinsons,19.00,202,"3,838.00","9,493",5.41,12,4.7,2001,5,8,MAMA MART LTD,Fresh & Chilled,Large Oversize,FBA,5.4x6.6x4.4,1.41,04-06-2015
"Robinsons SQUASH'D, 0 Percent Sugar, Real Fruit Squash, Low Calorie, Citrus, Makes 20 Drinks Per Pack, 6 x 66 ml Packs",B01GE2RRUS,Robinsons,,6,,"81,522",,1,4.7,95,5,0,,Fresh & Chilled,Large Oversize,FBA,5.4x6.5x4.5,1.41,24-05-2016
"Robinsons SQUASH'D, 0 Percent Sugar, Real Fruit Squash, Low Calorie, Citrus, Makes 20 Drinks Per Pack, 6 x 66 ml Packs",B01GE2RRUS,Robinsons,,6,,"81,522",,1,4.7,95,5,0,,Fresh & Chilled,Large Oversize,FBA,5.4x6.5x4.5,1.41,24-05-2016
"Robinsons SQUASH'D, 0 Percent Sugar, Real Fruit Squash, Low Calorie, Citrus, Makes 20 Drinks Per Pack, 6 x 66 ml Packs",B01GE2RRUS,Robinsons,,6,,"81,522",,1,4.7,95,5,0,,Fresh & Chilled,Large Oversize,FBA,5.4x6.5x4.5,1.41,24-05-2016
"Robinsons SQUASH'D, No Added Sugar, Real Fruit, Orange, Makes 20 Drinks Per Pack, 6 Packs",B07C7CQJLL,Robinsons,16.99,152,"2,582.48","9,976",4.80,29,4.7,480,5,2,JW WORLD,Fresh & Chilled,Large Oversize,FBA,6.1x8.0x1.8,1.19,18-05-2018
"Robinsons SQUASH'D, No Added Sugar, Real Fruit, Orange, Makes 20 Drinks Per Pack, 6 Packs",B07C7CQJLL,Robinsons,16.99,152,"2,582.48","9,976",4.80,29,4.7,480,5,2,JW WORLD,Fresh & Chilled,Large Oversize,FBA,6.1x8.0x1.8,1.19,18-05-2018
"Robinsons SQUASH'D, No Added Sugar, Real Fruit, Orange, Makes 20 Drinks Per Pack, 6 Packs",B07C7CQJLL,Robinsons,16.99,152,"2,582.48","9,976",4.80,29,4.7,480,5,2,JW WORLD,Fresh & Chilled,Large Oversize,FBA,6.1x8.0x1.8,1.19,18-05-2018
"Rokit Pods | Organic Barley 'Coffee' Pods | Decaf Alternative | Nespresso Coffee Machine Compatible Pods | Compostable Capsules | Instant Drink | No More Scooping, Whisking or Dust | 10 Pods Multipack",B07R5VTYCR,Rokit,8.97,130,"1,166.10","8,499",2.94,3,4.2,309,9,0,Rokit Health,Drinks,Standard Parcel,FBA,2.8x6.0x1.3,0.13,29-04-2019
Rooibos Dream Catcher - 1kg Pouch,B0074FS04M,Nothing but Tea,61.03,7,427.21,"74,357",,1,4.6,10,1,0,Nothing but Tea Ltd,Drinks,,MFN,,,03-02-2012
Rooibos Matcha Powder (Decaf/No Caffeine) 20g by PureChimp - Compostable/Biodegradable Pouch,B08NC3FQV3,PureChimp,4.95,14,69.3,"44,063",,2,4.0,5,5,0,PureChimp,Drinks,Large Letter,FBA,3.4x5.0x0.7,0.04,12-11-2020
Rooibos Organic Tea South Africa - Loose Leaf Herbal African Red Bush Tea - Redbush Tea 200g,B0791GGMSB,Valley of Tea,8.97,109,977.73,"40,746",3.06,1,4.5,334,9,1,Valley of Tea,Drinks,Small Oversize,FBA,3.0x9.1x2.6,0.53,15-01-2018
Rose Hip Organic Herbal Tea - Soothingly Sweet - Dried Rosehip Herbal Tea - Rosehips Cynorhodon - Rosa Canina Cynorrhodon 200g,B07D21SC4Q,Valley of Tea,12.42,50,621,"38,816",4.11,1,4.4,69,8,0,Valley of Tea,Drinks,Large Oversize,FBA,4.4x7.9x1.7,0.57,12-05-2018
"Rose Rice Paper, 454 g",B00CR3SWSK,Rose,,17,,"1,10,017",,1,3.8,22,1,0,Amazon,Food Cupboard,Large Oversize,AMZ,9.2x10.0x1.9,1.1,14-05-2013
Rosehip Organic Herbal Blend Infusion (Dooars Green Tea - 25 Tea Bags - Unbleached),B07N5JD8C4,Herbal Kingdom,9.99,2,19.98,"1,32,895",,1,,,3,0,HerbalKingdom,Drinks,,MFN,,,27-01-2019
Rosemary Leaf Organic Herbal Blend Infusion (Dooars Green Tea - 25 Tea Bags - Unbleached),B07F13TYGM,Herbal Kingdom,9.99,1,9.99,"2,14,183",,1,5.0,2,3,0,HerbalKingdom,Drinks,,MFN,,,25-06-2018
"Rosewood Leaps & Bounds Hotdogs, 220 g, Pack of 12",B072C7R4HP,Rosewood Pet Products,21.60,114,"2,462.40","18,163",7.83,1,4.9,80,5,0,Amazon,Grocery,Large Oversize,AMZ,7.6x8.2x5.4,6.75,29-05-2017
"Rougie Blue Lobster Tail & Claw, from Frozen, 150g",B00H56LU7E,Fine Food Specialist,44.03,2,88.06,"1,04,859",,1,2.8,3,1,0,Fine Food Specialist,Frozen,,MFN,,,02-09-2015
Rowse Organic Honey. Triple Pack (3x340g),B07W7KHDCW,Rowse,13.46,199,"2,678.54","6,109",4.72,18,4.4,89,1,2,TRBTrading,Food Cupboard,Large Oversize,FBA,6.8x8.2x3.3,2.42,05-08-2019
"Rowse Squeezable Blossom Honey, 680g",B002E2LOYS,Rowse,4.15,530,"2,199.50","2,933",2.84,11,4.7,232,4,16,Amazon,Food Cupboard,Large Oversize,AMZ,3.7x6.7x2.0,1.57,04-11-2012
Royal Chai | Cardamom Sweetened Tub | 400 g (Pack of 1) | Premium Instant Chai | Makes 20 cups,B073H64MV5,Royal Chai,7.49,924,"6,920.76","2,773",3.11,9,4.4,717,1,126,One Stop Dealers,Drinks,Large Oversize,FBA,3.9x5.4x3.9,1.01,28-06-2017
Royal Chai | Cardamom Sweetened Tub | 400 g (Pack of 1) | Premium Instant Chai | Makes 20 cups,B073H64MV5,Royal Chai,7.49,924,"6,920.76","2,773",3.11,9,4.4,717,1,126,One Stop Dealers,Drinks,Large Oversize,FBA,3.9x5.4x3.9,1.01,28-06-2017
Royal Chai | Cardamom Sweetened Tub | 400 g (Pack of 1) | Premium Instant Chai | Makes 20 cups,B073H64MV5,Royal Chai,7.49,924,"6,920.76","2,773",3.11,9,4.4,717,1,126,One Stop Dealers,Drinks,Large Oversize,FBA,3.9x5.4x3.9,1.01,28-06-2017
Royal Chai | Cardamom Sweetened Tub | 400 g (Pack of 1) | Premium Instant Chai | Makes 20 cups,B073H64MV5,Royal Chai,7.49,924,"6,920.76","2,773",3.11,9,4.4,717,1,126,One Stop Dealers,Drinks,Large Oversize,FBA,3.9x5.4x3.9,1.01,28-06-2017
Royal Chai Elaichi Premium Instant Indian Tea Sweetened,B0045FSIUK,Royal Chai,5.49,"1,540","8,454.60","1,480",2.78,9,4.3,673,4,25,UV Brands Europe,Drinks,Small Oversize,FBA,3.5x4.4x3.4,0.4,01-10-2010
Royal Chai Elaichi Premium Instant Indian Tea Sweetened,B0045FSIUK,Royal Chai,5.49,"1,540","8,454.60","1,480",2.78,9,4.3,673,4,25,UV Brands Europe,Drinks,Small Oversize,FBA,3.5x4.4x3.4,0.4,01-10-2010
