Product Details,ASIN,Brand,Price,Sales,Revenue,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
(3 PACK) - Oatly - Oatly Chocolate | 1000ml | 3 PACK BUNDLE,B00V6HSKF8,OATLY,8.49,7,59.43,"79,328",,4,4.7,4,2,0,First4Health,Fresh & Chilled,,MFN,,,16-09-2015
(3 PACK) - Rice Dream - Rice Dream Vanilla Organic | 1000ml | 3 PACK BUNDLE,B00V6I1ILU,Dream,,,,"3,97,318",,1,,,3,0,,Fresh & Chilled,,,,,16-09-2015
(3 PACK) - Rude Health - Organic Almond Drink | 1000ml | 3 PACK BUNDLE,B00V6HTCQY,Rude Health,9.99,0,0,0,0.00,,5.0,1,,,Best4Deals,Fresh & Chilled,,,,,25-03-2015
(3 PACK) - Rude Health - Organic Brown Rice Drink | 1000ml | 3 PACK BUNDLE,B00V6HT0CA,Rude Health,12.94,,0,"3,64,860",,2,5.0,1,2,0,Superfood Market,Fresh & Chilled,,MFN,,,16-09-2015
(4 PACK) - Aloe Pura - Aloe Vera Juice Cranberry | 1000ml | 4 PACK BUNDLE,B00V6HA5B0,Aloe Pura,27.48,21,577.08,"60,918",,3,5.0,10,3,0,SUPERTRADE LIMITED,Drinks,,MFN,,,25-03-2015
(4 PACK) - Clipper - Org FT Papua New Guinea Rich | 100g | 4 PACK BUNDLE,B00V6HNPKS,Clipper,18.98,4,75.92,"1,34,645",,1,4.3,4,3,0,UK Business Supplies,Drinks,,MFN,,,28-02-2016
(4 PACK) - Clipper - Organic Infusion Redbush | 80 Bag | 4 PACK BUNDLE,B00V6HA8XK,Clipper,16.54,10,165.4,"40,948",4.75,3,5.0,20,3,0,Best4Deals,Drinks,Small Oversize,MFN,5.9x7.9x2.0,0.44,16-09-2015
(4 Pack) - Dragonfly Tea - Earl Grey Rooibos Tea | 40 Bag | 4 Pack Bundle,B00V6I0B5O,Dragonfly Teas,11.92,351,"4,183.92","5,311",4.32,7,4.8,260,1,0,Unified Retail,Drinks,Large Oversize,FBA,6.2x11.2x3.9,1.3,19-10-2012
(4 Pack) - Dragonfly Tea - Earl Grey Rooibos Tea | 40 Bag | 4 Pack Bundle,B00V6I0B5O,Dragonfly Teas,11.92,351,"4,183.92","5,311",4.32,7,4.8,260,1,0,Unified Retail,Drinks,Large Oversize,FBA,6.2x11.2x3.9,1.3,19-10-2012
(4 PACK) - Dragonfly Tea - Organic Mountain Honeybush Tea | 20 sachet | 4 PACK BUNDLE,B00V6I12XO,Dragonfly Tea,13.67,2,27.34,"1,81,548",,2,,,4,0,Quasaro,Grocery,,MFN,,,16-09-2015
